Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
72953,1.044624364,-0.122285627,1.372257985,1.290997148,-1.001116694,0.030731258,-0.587411226,0.188118052,0.534330884,-0.061222071,1.181613824,1.521804911,0.449481874,-0.250648309,-0.591956559,0.193590475,-0.454439851,0.306695396,-0.010665511,-0.041276865,0.024888439,0.206085066,-0.021327664,0.562001124,0.365941512,-0.443935825,0.067369796,0.035998429,35.97,0
124831,1.831708264,-2.021703527,-2.162304954,-1.623079476,-0.619974491,-0.500092787,-0.216725365,-0.400433979,-1.762798206,1.518094513,-1.321192087,-1.019804418,0.730046739,0.000887434,0.250281046,-0.446587617,0.23890824,-0.208703828,0.018121221,0.198546511,-0.180598525,-0.784531881,-0.005272613,-0.003466008,-0.181934379,-0.331662186,-0.079097323,-0.007086348,304.69,0
60933,1.012552334,0.111077052,1.191682138,2.70326034,-0.495645031,0.529149258,-0.416240255,0.217987729,-0.017404889,0.457174177,-0.75675801,0.240414015,0.060965377,-0.308741952,-0.177683171,0.155186561,-0.078456592,-0.589201593,-1.238507355,-0.10331887,0.121823532,0.474233983,-0.101201098,0.112384268,0.447429316,0.174259964,0.038841784,0.032226538,45.63,0
70960,1.066764372,-1.516925671,-0.809494667,-1.655582797,0.837384788,3.598814402,-1.350317909,0.881209107,-0.565460195,0.578475189,-0.07421434,-0.753274976,0.389226376,-0.282755662,1.315920388,1.82582342,-0.443187167,-0.381295542,0.534658629,0.603241273,0.443153534,0.660350864,-0.30474201,1.058874828,0.520587501,-0.05440591,0.00493857,0.052024247,199.99,0
50968,-1.244693307,1.954084497,0.20436416,0.386314266,0.612333357,-0.585423174,1.155030933,-0.336753761,0.512113336,1.777345772,-1.105049333,-0.94867636,-0.816543227,-0.040489302,1.155832173,-0.490496911,-0.487349575,0.124800967,0.705965291,0.693044321,-0.264940708,-0.050933894,-0.437468921,-0.490058485,0.740391668,-0.218051198,-0.0771951,-0.468537406,0.89,0
76582,-0.576505135,1.047083733,1.21417268,0.413204756,0.237529147,-0.388126635,0.41033984,0.077932653,-0.6580364,0.034562866,1.189986678,0.220548018,-0.240248353,-0.11067328,0.801573547,0.283530858,0.012388706,0.64398704,1.324921974,0.216487723,-0.187270839,-0.515412497,-0.050729449,-0.046353867,-0.498534249,0.186015243,0.228421877,0.199712774,6.99,0
140768,1.996215155,0.247142283,-1.842723715,1.276741445,0.529959827,-1.414277514,0.838354769,-0.505624895,-0.113878838,0.360222136,-0.754781322,0.034272819,-0.401932704,0.881673682,0.263285681,-0.454384853,-0.364357714,-0.470436187,-0.464947139,-0.24259967,0.144380391,0.450225686,-0.033190646,-0.019387832,0.436435705,-0.483903094,-0.037098243,-0.05864892,38.4,0
112671,-0.230731828,1.187763128,-0.471416423,-0.343320948,0.219117615,-1.233523786,0.67668104,0.166169934,-0.13159347,-0.500622037,-1.091294326,-0.057634629,-0.299005103,0.816626813,0.502371694,-0.364839134,-0.227858824,0.151322464,-0.03561813,-0.16795027,0.411774146,1.326175951,-0.073167131,0.016581567,-0.794392851,-0.213312518,0.386697069,0.258858823,0.89,0
83534,-3.442775823,-2.423836419,1.353356322,0.6249354,-2.831729878,0.344737585,1.554502231,0.031672047,-1.217252824,-0.675353914,-0.657590863,0.602506951,1.335912272,-0.500819365,-0.518937134,-0.97169111,-0.008070759,1.198133892,-1.790228802,-0.375015475,-0.294663743,-0.536808456,-0.099514642,0.968170792,0.272866534,-0.525097868,0.371480691,-0.518751623,711.5,0
72095,-3.844796485,-0.340758066,0.444681861,0.783993014,-1.241379765,-0.872621129,-1.732150454,1.880054912,-0.213614049,-1.20007524,0.307772024,1.184772213,-0.641634421,1.207256299,-0.671041049,1.281166918,-0.175217179,0.775038464,-0.893265817,-0.677197822,0.309260414,-0.002324251,-0.812652973,0.571121176,-0.053492001,-0.65254167,-0.685392983,-0.602359724,1.18,0
