@relation creditcard_3000_for_smote-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1

@attribute Time numeric
@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 numeric
@attribute V9 numeric
@attribute V10 numeric
@attribute V11 numeric
@attribute V12 numeric
@attribute V13 numeric
@attribute V14 numeric
@attribute V15 numeric
@attribute V16 numeric
@attribute V17 numeric
@attribute V18 numeric
@attribute V19 numeric
@attribute V20 numeric
@attribute V21 numeric
@attribute V22 numeric
@attribute V23 numeric
@attribute V24 numeric
@attribute V25 numeric
@attribute V26 numeric
@attribute V27 numeric
@attribute V28 numeric
@attribute Amount numeric
@attribute Class {0,1}

@data
72953,1.044624,-0.122286,1.372258,1.290997,-1.001117,0.030731,-0.587411,0.188118,0.534331,-0.061222,1.181614,1.521805,0.449482,-0.250648,-0.591957,0.19359,-0.45444,0.306695,-0.010666,-0.041277,0.024888,0.206085,-0.021328,0.562001,0.365942,-0.443936,0.06737,0.035998,35.97,0
124831,1.831708,-2.021704,-2.162305,-1.623079,-0.619974,-0.500093,-0.216725,-0.400434,-1.762798,1.518095,-1.321192,-1.019804,0.730047,0.000887,0.250281,-0.446588,0.238908,-0.208704,0.018121,0.198547,-0.180599,-0.784532,-0.005273,-0.003466,-0.181934,-0.331662,-0.079097,-0.007086,304.69,0
60933,1.012552,0.111077,1.191682,2.70326,-0.495645,0.529149,-0.41624,0.217988,-0.017405,0.457174,-0.756758,0.240414,0.060965,-0.308742,-0.177683,0.155187,-0.078457,-0.589202,-1.238507,-0.103319,0.121824,0.474234,-0.101201,0.112384,0.447429,0.17426,0.038842,0.032227,45.63,0
70960,1.066764,-1.516926,-0.809495,-1.655583,0.837385,3.598814,-1.350318,0.881209,-0.56546,0.578475,-0.074214,-0.753275,0.389226,-0.282756,1.31592,1.825823,-0.443187,-0.381296,0.534659,0.603241,0.443154,0.660351,-0.304742,1.058875,0.520588,-0.054406,0.004939,0.052024,199.99,0
50968,-1.244693,1.954084,0.204364,0.386314,0.612333,-0.585423,1.155031,-0.336754,0.512113,1.777346,-1.105049,-0.948676,-0.816543,-0.040489,1.155832,-0.490497,-0.48735,0.124801,0.705965,0.693044,-0.264941,-0.050934,-0.437469,-0.490058,0.740392,-0.218051,-0.077195,-0.468537,0.89,0
76582,-0.576505,1.047084,1.214173,0.413205,0.237529,-0.388127,0.41034,0.077933,-0.658036,0.034563,1.189987,0.220548,-0.240248,-0.110673,0.801574,0.283531,0.012389,0.643987,1.324922,0.216488,-0.187271,-0.515412,-0.050729,-0.046354,-0.498534,0.186015,0.228422,0.199713,6.99,0
140768,1.996215,0.247142,-1.842724,1.276741,0.52996,-1.414278,0.838355,-0.505625,-0.113879,0.360222,-0.754781,0.034273,-0.401933,0.881674,0.263286,-0.454385,-0.364358,-0.470436,-0.464947,-0.2426,0.14438,0.450226,-0.033191,-0.019388,0.436436,-0.483903,-0.037098,-0.058649,38.4,0
112671,-0.230732,1.187763,-0.471416,-0.343321,0.219118,-1.233524,0.676681,0.16617,-0.131593,-0.500622,-1.091294,-0.057635,-0.299005,0.816627,0.502372,-0.364839,-0.227859,0.151322,-0.035618,-0.16795,0.411774,1.326176,-0.073167,0.016582,-0.794393,-0.213313,0.386697,0.258859,0.89,0
83534,-3.442776,-2.423836,1.353356,0.624935,-2.83173,0.344738,1.554502,0.031672,-1.217253,-0.675354,-0.657591,0.602507,1.335912,-0.500819,-0.518937,-0.971691,-0.008071,1.198134,-1.790229,-0.375015,-0.294664,-0.536808,-0.099515,0.968171,0.272867,-0.525098,0.371481,-0.518752,711.5,0
72095,-3.844796,-0.340758,0.444682,0.783993,-1.24138,-0.872621,-1.73215,1.880055,-0.213614,-1.200075,0.307772,1.184772,-0.641634,1.207256,-0.671041,1.281167,-0.175217,0.775038,-0.893266,-0.677198,0.30926,-0.002324,-0.812653,0.571121,-0.053492,-0.652542,-0.685393,-0.60236,1.18,0
127140,1.781269,-2.511194,-0.309443,-1.456587,-2.213397,0.181141,-1.80821,0.291251,-0.573735,1.637968,0.263172,-1.366136,-1.876642,-0.125272,-0.043383,0.350907,0.128283,1.18719,-0.170034,-0.098307,0.024394,-0.086706,0.220309,0.672524,-0.74382,-0.323363,-0.002231,0.00025,230.7,0
136283,1.991059,0.004375,-1.041321,0.543158,-0.344747,-1.872435,0.481837,-0.535068,0.229121,0.063123,0.161981,1.075207,0.611798,0.29171,-0.261141,-0.615713,0.090483,-1.246249,-0.17065,-0.167884,-0.059979,-0.015923,0.28112,0.993831,-0.151693,0.456702,-0.093487,-0.057723,20.78,0
136098,0.128605,0.758886,0.44426,-0.61149,0.512947,-1.089948,1.229936,-0.422163,0.119412,-0.201154,-0.8509,-0.022715,-0.1504,-0.068527,-0.358759,-0.171093,-0.501896,-0.759806,-0.084182,0.037837,-0.309368,-0.554661,0.048664,0.035109,-0.518809,0.109522,0.080508,-0.125385,10.29,0
67710,1.21288,-1.281458,1.683312,-0.272862,-2.017422,0.748734,-1.881891,0.618165,0.763453,0.450567,0.569179,-0.411822,-2.301774,-0.723755,-1.596937,0.505624,1.117918,-1.117186,0.859046,-0.141206,0.205642,0.851283,-0.020633,0.247386,0.277208,-0.038797,0.085281,0.010752,2,0
41606,-1.200424,-0.050464,2.319384,0.062695,-0.794518,0.764863,-0.04106,0.418438,0.345849,-0.34936,1.03422,0.677668,-0.576515,-0.340196,-0.241374,-0.667681,0.592796,-0.230836,1.561731,0.291343,-0.126852,-0.103167,0.003841,0.087676,-0.10108,1.145146,0.163202,0.166503,120.34,0
164949,2.160688,-0.574383,-1.700224,-0.492161,-0.099512,-0.855024,0.026891,-0.350599,-0.969806,1.05243,0.394462,0.895604,0.63905,0.333685,-1.319941,-1.799443,-0.195165,1.00995,-0.124103,-0.559994,-0.357744,-0.384569,0.095695,-0.297207,0.06825,0.673909,-0.082797,-0.083916,17.9,0
